text,label
A literary detective story is still a detective story and aficionados of the whodunit wo n't be disappointed .,positive
High Crimes steals so freely from other movies and combines enough disparate types of films that it ca n't help but engage an audience .,positive
If you 're a fan of the series you 'll love it and probably want to see it twice .,very positive
I will be .,positive
"It celebrates the group 's playful spark of nonconformity , glancing vividly back at what Hibiscus grandly called his ` angels of light . '",positive
"The story ... is inspiring , ironic , and revelatory of just how ridiculous and money-oriented the record industry really is .",very positive
It is also a testament to the integrity and vision of the band .,positive
"Laced with liberal doses of dark humor , gorgeous exterior photography , and a stable-full of solid performances , No Such Thing is a fascinating little tale .",very positive
"Huppert 's show to steal and she makes a meal of it , channeling Kathy Baker 's creepy turn as the repressed mother on Boston Public just as much as 8 Women 's Augustine .",positive
Nair does n't treat the issues lightly .,positive
She allows each character to confront their problems openly and honestly .,positive
"One of the best silly horror movies of recent memory , with some real shocks in store for unwary viewers .",very positive
The work of a filmmaker who has secrets buried at the heart of his story and knows how to take time revealing them .,positive
Strange occurrences build in the mind of the viewer and take on extreme urgency .,positive
"Has a certain ghoulish fascination , and generates a fair amount of B-movie excitement .",positive
Familiar but utterly delightful .,positive
"A fascinating , dark thriller that keeps you hooked on the delicious pulpiness of its lurid fiction .",positive
"The film aims to be funny , uplifting and moving , sometimes all at once .",positive
The extent to which it succeeds is impressive .,positive
"The film brilliantly shines on all the characters , as the direction is intelligently accomplished .",very positive
"While not for every taste , this often very funny collegiate gross-out comedy goes a long way toward restoring the luster of the National Lampoon film franchise , too long reduced to direct-to-video irrelevancy .",positive
"As broad and cartoonish as the screenplay is , there is an accuracy of observation in the work of the director , Frank Novak , that keeps the film grounded in an undeniable social realism .",positive
"In addition to Hoffman 's powerful acting clinic , this is that rare drama that offers a thoughtful and rewarding glimpse into the sort of heartache everyone has felt , or will feel someday .",very positive
Jeffrey Tambor 's performance as the intelligent jazz-playing exterminator is Oscar-worthy .,very positive
"From the opening strains of the Average White Band 's `` Pick up the Pieces '' , you can feel the love .",positive
Stevens ' vibrant creative instincts are the difference between this and countless other flicks about guys and dolls .,positive
that it 'll probably be the best and most mature comedy of the 2002 summer season speaks more of the season than the picture,positive
"Old people will love this movie , and I mean that in the nicest possible way : Last Orders will touch the heart of anyone old enough to have earned a 50-year friendship .",neutral
Meyjes ' provocative film might be called an example of the haphazardness of evil .,positive
Tian emphasizes the isolation of these characters by confining color to Liyan 's backyard .,neutral
The movie is pretty funny now and then without in any way demeaning its subjects .,positive
imagine a scenario where Bergman approaches Swedish fatalism using Gary Larson 's Far Side humor,positive
"Too damn weird to pass up , and for the blacklight crowd , way cheaper ( and better ) than Pink Floyd tickets .",positive
"It is most remarkable not because of its epic scope , but because of the startling intimacy it achieves despite that breadth .",very positive
It 's not a great monster movie .,negative
"But if you 've paid a matinee price and bought a big tub of popcorn , there 's guilty fun to be had here .",neutral
Chomp chomp !,neutral
The Grey Zone gives voice to a story that needs to be heard in the sea of Holocaust movies ... but the film suffers from its own difficulties .,neutral
"Others , more attuned to the anarchist maxim that ` the urge to destroy is also a creative urge ' , or more willing to see with their own eyes , will find Morrison 's iconoclastic uses of technology to be liberating .",very positive
"Miller tells this very compelling tale with little fuss or noise , expertly plucking tension from quiet .",positive
Time Out is existential drama without any of the pretension associated with the term .,positive
"It 's a sweet , laugh-a-minute crowd pleaser that lifts your spirits as well as the corners of your mouth .",positive
Writer\/director Alexander Payne ( Election ) and his co-writer Jim Taylor brilliantly employ their quirky and fearless ability to look American angst in the eye and end up laughing .,positive
A movie that at its best does n't just make the most out of its characters ' flaws but insists on the virtue of imperfection .,neutral
"It 's tough to watch , but it 's a fantastic movie .",very positive
The best animated feature to hit theaters since Beauty and the Beast 11 years ago .,very positive
What saves this deeply affecting film from being merely a collection of wrenching cases is Corcuera 's attention to detail .,positive
Pacino is the best he 's been in years and Keener is marvelous .,very positive
"A solid , spooky entertainment worthy of the price of a ticket .",positive
"By turns fanciful , grisly and engagingly quixotic .",positive
"... very funny , very enjoyable ...",very positive
Adaptation is intricately constructed and in a strange way nails all of Orlean 's themes without being a true adaptation of her book .,positive
So purely enjoyable that you might not even notice it 's a fairly straightforward remake of Hollywood comedies such as Father of the Bride .,positive
Moonlight Mile gives itself the freedom to feel contradictory things .,positive
"It is sentimental but feels free to offend , is analytical and then surrenders to the illogic of its characters , is about grief and yet permits laughter .",very positive
"The real triumphs in Igby come from Philippe , who makes Oliver far more interesting than the character 's lines would suggest , and Sarandon , who could n't be better as a cruel but weirdly likable WASP matron .",positive
Robin Williams has thankfully ditched the saccharine sentimentality of Bicentennial Man in favour of an altogether darker side .,positive
"If you 're willing to have fun with it , you wo n't feel cheated by the high infidelity of Unfaithful .",positive
Australia : Land Beyond Time is an enjoyable Big Movie primarily because Australia is a weirdly beautiful place .,positive
Hoffman 's performance is authentic to the core of his being .,positive
Told just proficiently enough to trounce its overly comfortable trappings .,positive
"An enthralling aesthetic experience , one that 's steeped in mystery and a ravishing , baroque beauty .",very positive
The quirky drama touches the heart and the funnybone thanks to the energetic and always surprising performance by Rachel Griffiths .,very positive
A captivating coming-of-age story that may also be the first narrative film to be truly informed by the wireless age .,very positive
What could have been a daytime soap opera is actually a compelling look at a young woman 's tragic odyssey .,positive
Duvall is strong as always .,very positive
A no-holds-barred cinematic treat .,very positive
You 'd have to be a most hard-hearted person not to be moved by this drama .,positive
Allen 's underestimated charm delivers more goodies than lumps of coal .,positive
"Measured against practically any like-themed film other than its Oscar-sweeping franchise predecessor The Silence of the Lambs , Red Dragon rates as an exceptional thriller .",very positive
An exhilarating serving of movie fluff .,neutral
"Maelstrom is strange and compelling , engrossing and different , a moral tale with a twisted sense of humor .",very positive
It makes you believe the cast and crew thoroughly enjoyed themselves and believed in their small-budget film .,positive
"Dark and disturbing , yet compelling to watch .",neutral
"Too often , Son of the Bride becomes an exercise in trying to predict when a preordained `` big moment '' will occur and not `` if . ''",negative
"The picture uses humor and a heartfelt conviction to tell a story about discovering your destination in life , but also acknowledging the places , and the people , from whence you came .",positive
A solid piece of journalistic work that draws a picture of a man for whom political expedience became a deadly foreign policy .,neutral
A terrific insider look at the star-making machinery of tinseltown .,positive
It 's a diverting enough hour-and-a-half for the family audience .,positive
A party-hearty teen flick that scalds like acid .,negative
As giddy and whimsical and relevant today as it was 270 years ago .,very positive
The film offers an intriguing what-if premise .,very positive
The Pianist is the film Roman Polanski may have been born to make .,positive
This version does justice both to Stevenson and to the sci-fi genre .,positive
Poignant and delicately complex .,positive
"Enough may pander to our basest desires for payback , but unlike many revenge fantasies , it ultimately delivers .",positive
Cho 's latest comic set is n't as sharp or as fresh as I 'm the One That I Want ... but it 's still damn funny stuff .,positive
"In The Pianist , Polanski is saying what he has long wanted to say , confronting the roots of his own preoccupations and obsessions , and he allows nothing to get in the way .",positive
"Despite the film 's shortcomings , the stories are quietly moving .",positive
"Those who love Cinema Paradiso will find the new scenes interesting , but few will find the movie improved .",neutral
"If you come from a family that eats , meddles , argues , laughs , kibbitzes and fights together , then go see this delightful comedy .",positive
This bracingly truthful antidote to Hollywood teenage movies that slather Clearasil over the blemishes of youth captures the combustible mixture of a chafing inner loneliness and desperate grandiosity that tend to characterize puberty .,positive
The reason to see `` Sade '' lay with the chemistry and complex relationship between the marquis ( Auteil ) and Emilie ( Le Besco ) .,neutral
It 's the filmmakers ' post-camp comprehension of what made old-time B movies good-bad that makes Eight Legged Freaks a perfectly entertaining summer diversion .,positive
"The film 's strength is n't in its details , but in the larger picture it paints - of a culture in conflict with itself , with the thin veneer of nationalism that covers our deepest , media-soaked fears .",positive
"... best seen as speculative history , as much an exploration of the paranoid impulse as a creative sequel to the Warren Report .",neutral
"It has its faults , but it is a kind , unapologetic , sweetheart of a movie , and Mandy Moore leaves a positive impression .",positive
"The Saigon of 1952 is an uneasy mix of sensual delights and simmering violence , and The Quiet American brings us right into the center of that world .",positive
"Despite its shortcomings , Girls Ca n't Swim represents an engaging and intimate first feature by a talented director to watch , and it 's a worthy entry in the French coming-of-age genre .",positive
"Flawed , but worth seeing for Ambrose 's performance .",neutral
"With Dirty Deeds , David Caesar has stepped into the mainstream of filmmaking with an assurance worthy of international acclaim and with every cinematic tool well under his control -- driven by a natural sense for what works on screen .",very positive
The humor and humanity of Monsoon Wedding are in perfect balance .,positive
"Lookin ' for sin , American-style ?",negative
"Try Hell House , which documents the cautionary Christian spook-a-rama of the same name .",neutral
A compelling motion picture that illustrates an American tragedy .,very positive
"As comedic spotlights go , Notorious C.H.O. hits all the verbal marks it should .",positive
It 's a day at the beach -- with air conditioning and popcorn .,positive
Frida is n't that much different from many a Hollywood romance .,negative
"What sets it apart is the vision that Taymor , the avant garde director of Broadway 's The Lion King and the film Titus , brings .",positive
"Stevens has a flair for dialogue comedy , the film operates nicely off the element of surprise , and the large cast is solid .",very positive
"Extremely well acted by the four primary actors , this is a seriously intended movie that is not easily forgotten .",very positive
The film exudes the urbane sweetness that Woody Allen seems to have bitterly forsaken .,positive
"K-19 : The Widowmaker is derivative , overlong , and bombastic -- yet surprisingly entertaining .",positive
"It 's good , hard-edged stuff , violent and a bit exploitative but also nicely done , morally alert and street-smart .",positive
"Cineasts will revel in those visual in-jokes , as in the film 's verbal pokes at everything from the likes of Miramax chief Harvey Weinstein 's bluff personal style to the stylistic rigors of Denmark 's Dogma movement .",positive
It 's a rare window on an artistic collaboration .,positive
"... begins with promise , but runs aground after being snared in its own tangled plot .",negative
Perhaps the best sports movie I 've ever seen .,very positive
Cho 's timing is priceless .,very positive
"... creates a visceral sense of its characters ' lives and conflicted emotions that carries it far above ... what could have been a melodramatic , Lifetime Channel-style anthology .",neutral
"A sensitive , moving , brilliantly constructed work .",very positive
An edgy thriller that delivers a surprising punch .,positive
A reasonably entertaining sequel to 1994 's surprise family hit that may strain adult credibility .,positive
( Reno ) delivers a monologue that manages to incorporate both the horror and the absurdity of the situation in a well-balanced fashion .,positive
there is truth here,positive
"a confident , richly acted , emotionally devastating piece of work and 2002 's first great film",very positive
"A touching , small-scale story of family responsibility and care in the community .",positive
Arteta directs one of the best ensemble casts of the year,very positive
The casting of von Sydow ... is itself Intacto 's luckiest stroke .,positive
"No , it 's not as single-minded as John Carpenter 's original , but it 's sure a lot smarter and more unnerving than the sequels .",positive
"A gem of a romantic crime comedy that turns out to be clever , amusing and unpredictable .",very positive
"Stands as one of the year 's most intriguing movie experiences , letting its imagery speak for it while it forces you to ponder anew what a movie can be .",very positive
"... the first 2\/3 of the film are incredibly captivating and insanely funny , thanks in part to interesting cinematic devices ( cool visual backmasking ) , a solid cast , and some wickedly sick and twisted humor ...",very positive
This movie got me grinning .,positive
There 's a part of us that can not help be entertained by the sight of someone getting away with something .,positive
An old-fashioned drama of substance about a teacher 's slide down the slippery slope of dishonesty after an encounter with the rich and the powerful who have nothing but disdain for virtue .,positive
"What 's not to like about a movie with a ` children 's ' song that includes the line ` My stepdad 's not mean , he 's just adjusting ' ?",positive
"This English-language version ... does full honor to Miyazaki 's teeming and often unsettling landscape , and to the conflicted complexity of his characters .",neutral
The pleasures that it does afford may be enough to keep many moviegoers occupied amidst some of the more serious-minded concerns of other year-end movies .,positive
"Not everyone will welcome or accept The Trials of Henry Kissinger as faithful portraiture , but few can argue that the debate it joins is a necessary and timely one .",positive
"There are no special effects , and no Hollywood endings .",positive
"Like the original , this version is raised a few notches above kiddie fantasy pablum by Allen 's astringent wit .",positive
"Despite its Hawaiian setting , the science-fiction trimmings and some moments of rowdy slapstick , the basic plot of `` Lilo '' could have been pulled from a tear-stained vintage Shirley Temple script .",negative
A brutally honest documentary about a much anticipated family reunion that goes wrong thanks to culture shock and a refusal to empathize with others .,neutral
"Filled with honest performances and exceptional detail , Baran is a gentle film with dramatic punch , a haunting ode to humanity .",very positive
"Sparkles in its deft portrait of Tinseltown 's seasoned veterans of gossip , wealth , paranoia , and celebrityhood .",neutral
"In its dry and forceful way , it delivers the same message as Jiri Menzel 's Closely Watched Trains and Danis Tanovic 's No Man 's Land .",positive
... a triumph of emotionally and narratively complex filmmaking .,very positive
( Haynes ' ) homage to such films as `` All That Heaven Allows '' and `` Imitation of Life '' transcends them .,neutral
"Simply put , `` Far From Heaven '' is a masterpiece .",very positive
An intense and effective film about loneliness and the chilly anonymity of the environments where so many of us spend so much of our time .,positive
"Although fairly involving as far as it goes , the film does n't end up having much that is fresh to say about growing up Catholic or , really , anything .",negative
Proves mainly that South Korean filmmakers can make undemanding action movies with all the alacrity of their Hollywood counterparts .,neutral
A very funny romantic comedy about two skittish New York middle-agers who stumble into a relationship and then struggle furiously with their fears and foibles .,positive
Top-notch action powers this romantic drama .,very positive
Beresford nicely mixes in as much humor as pathos to take us on his sentimental journey of the heart .,positive
"It really is a shame that more wo n't get an opportunity to embrace small , sweet ` Evelyn . '",positive
"I stopped thinking about how good it all was , and started doing nothing but reacting to it - feeling a part of its grand locations , thinking urgently as the protagonists struggled , feeling at the mercy of its inventiveness , gasping at its visual delights .",very positive
Probably the best case for Christianity since Chesterton and Lewis .,positive
"A gently funny , sweetly adventurous film that makes you feel genuinely good , that is to say , entirely unconned by false sentiment or sharp , overmanipulative Hollywood practices .",positive
"Would be an unendurable viewing experience for this ultra-provincial New Yorker if 26-year-old Reese Witherspoon were not on hand to inject her pure fantasy character , Melanie Carmichael , with a massive infusion of old-fashioned Hollywood magic .",positive
"Visually fascinating ... an often intense character study about fathers and sons , loyalty and duty .",positive
A lyrical metaphor for cultural and personal self-discovery and a picaresque view of a little-remembered world .,positive
Schütte 's dramatic snapshot of the artist three days before his death offers an interesting bit of speculation as to the issues Brecht faced as his life drew to a close .,positive
"A slick , engrossing melodrama .",very positive
"S1M0NE 's satire is not subtle , but it is effective .",positive
"It 's a quirky , off-beat project .",positive
"While some will object to the idea of a Vietnam picture with such a rah-rah , patriotic tone , Soldiers ultimately achieves its main strategic objective : dramatizing the human cost of the conflict that came to define a generation .",negative
"Even if you do n't know the band or the album 's songs by heart , you will enjoy seeing how both evolve , and you will also learn a good deal about the state of the music business in the 21st Century .",positive
The solid filmmaking and convincing characters makes this a high water mark for this genre .,very positive
"Films about loss , grief and recovery are pretty valuable these days .",positive
"Seen in that light , Moonlight Mile should strike a nerve in many .",positive
"It 's endlessly inventive , consistently intelligent and sickeningly savage .",very positive
It is definitely worth seeing .,very positive
An impeccable study in perversity .,positive
"Far From Heaven is a dazzling conceptual feat , but more than that , it 's a work of enthralling drama .",positive
"A movie that both thrills the eye and , in its over-the-top way , touches the heart .",very positive
"Stuffed to the brim with ideas , American instigator Michael Moore 's film is a rambling examination of American gun culture that uses his usual modus operandi of crucifixion through juxtaposition .",positive
"Affectionately reminds us that , in any language , the huge stuff in life can usually be traced back to the little things .",positive
"A drama of great power , yet some members of the audience will leave the theater believing they have seen a comedy .",neutral
"The large-frame IMAX camera lends itself beautifully to filming the teeming life on the reefs , making this gorgeous film a must for everyone from junior scientists to grown-up fish lovers .",very positive
"The result is more depressing than liberating , but it 's never boring .",neutral
A story about intelligent high school students that deals with first love sweetly but also seriously .,positive
It is also beautifully acted .,very positive
"It is n't that the picture is unfamiliar , but that it manages to find new avenues of discourse on old problems .",neutral
"Same song , second verse , coulda been better , but it coulda been worse .",neutral
"It 's a technically superb film , shining with all the usual Spielberg flair , expertly utilizing the talents of his top-notch creative team .",very positive
"Wilco fans will have a great time , and the movie should win the band a few new converts , too .",positive
"Tsai has a well-deserved reputation as one of the cinema world 's great visual stylists , and in this film , every shot enhances the excellent performances .",positive
The date movie that Franz Kafka would have made .,neutral
"The fact is that the screen is most alive when it seems most likely that Broomfield 's interviewees , or even himself , will not be for much longer .",positive
Leguizamo and Jones are both excellent and the rest of the cast is uniformly superb .,very positive
I liked this film a lot ...,positive
... there is enough originality in ` Life ' to distance it from the pack of paint-by-number romantic comedies that so often end up on cinema screens .,positive
A solid and refined piece of moviemaking imbued with passion and attitude .,very positive
"Nettelbeck has crafted an engaging fantasy of flavours and emotions , one part romance novel , one part recipe book .",positive
"With or without the sex , a wonderful tale of love and destiny , told well by a master storyteller",very positive
"On the surface a silly comedy , Scotland , PA would be forgettable if it were n't such a clever adaptation of the bard 's tragic play .",positive
"A weird , arresting little ride .",positive
"A fine film , but it would be a lot better if it stuck to Betty Fisher and left out the other stories .",neutral
"A first-class road movie that proves you can run away from home , but your ego and all your problems go with you .",very positive
"You might want to take a reality check before you pay the full ticket price to see `` Simone , '' and consider a DVD rental instead .",negative
Well cast and well directed - a powerful drama with enough sardonic wit to keep it from being maudlin .,very positive
A backstage must-see for true fans of comedy .,very positive
"There 's back-stabbing , inter-racial desire and , most importantly , singing and dancing .",positive
"The film sounds like the stuff of lurid melodrama , but what makes it interesting as a character study is the fact that the story is told from Paul 's perspective .",positive
"Jones ... makes a great impression as the writer-director of this little $ 1.8 million charmer , which may not be cutting-edge indie filmmaking but has a huge heart .",very positive
"In the disturbingly involving family dysfunctional drama How I Killed My Father , French director Anne Fontaine delivers an inspired portrait of male-ridden angst and the emotional blockage that accompanies this human condition",positive
"Below may not mark Mr. Twohy 's emergence into the mainstream , but his promise remains undiminished .",positive
There 's no reason to miss Interview with the Assassin,very positive
Happily stays close to the ground in a spare and simple manner and does n't pummel us with phony imagery or music .,very positive
Its sheer dynamism is infectious .,positive
"For his first attempt at film noir , Spielberg presents a fascinating but flawed look at the near future .",positive
it somehow managed to make its way past my crappola radar and find a small place in my heart,neutral
"Perhaps it 's cliche to call the film ` refreshing , ' but it is .",very positive
"` Drumline ' shows a level of young , Black manhood that is funny , touching , smart and complicated .",very positive
"It does give a taste of the Burning Man ethos , an appealing blend of counter-cultural idealism and hedonistic creativity .",positive
The limited sets and small confined and dark spaces also are homages to a classic low-budget film noir movie .,neutral
"The movie is well done , but slow .",negative
"( A ) wonderfully loopy tale of love , longing , and voting .",very positive
"The fascination comes in the power of the Huston performance , which seems so larger than life and yet so fragile , and in the way the Ivan character accepts the news of his illness so quickly but still finds himself unable to react .",positive
"The last scenes of the film are anguished , bitter and truthful .",positive
Mr. Koshashvili is a director to watch .,very positive
Predictable storyline and by-the-book scripting is all but washed away by sumptuous ocean visuals and the cinematic stylings of director John Stockwell .,positive
"Antwone Fisher certainly does the trick of making us care about its protagonist and celebrate his victories but , with few exceptions , it rarely stoops to cheap manipulation or corny conventions to do it .",positive
"One feels the dimming of a certain ambition , but in its place a sweetness , clarity and emotional openness that recalls the classics of early Italian neorealism .",positive
"It challenges , this nervy oddity , like modern art should .",positive
"Whenever you think you 've figured out Late Marriage , it throws you for a loop .",positive
The Pianist is Polanski 's best film .,very positive
"It is a testament of quiet endurance , of common concern , of reconciled survival .",neutral
"This Orange has some juice , but it 's far from fresh-squeezed .",negative
"A sensitive , modest comic tragedy that works as both character study and symbolic examination of the huge economic changes sweeping modern China .",positive
"High Crimes knows the mistakes that bad movies make and is determined not to make them , and maybe that is nobility of a sort .",neutral
Cusack 's just brilliant in this .,very positive
Knows how to make our imagination wonder .,very positive
"Jae-eun Jeong 's Take Care of My Cat brings a beguiling freshness to a coming-of-age story with such a buoyant , expressive flow of images that it emerges as another key contribution to the flowering of the South Korean cinema .",positive
"The overall fabric is hypnotic , and Mr. Mattei fosters moments of spontaneous intimacy .",very positive
"Evokes a palpable sense of disconnection , made all the more poignant by the incessant use of cell phones .",positive
Malcolm McDowell is cool .,positive
Paul Bettany is cool .,positive
Paul Bettany playing Malcolm McDowell ?,neutral
Cool .,positive
"A touching , sophisticated film that almost seems like a documentary in the way it captures an Italian immigrant family on the brink of major changes .",positive
... a trashy little bit of fluff stuffed with enjoyable performances and a bewildering sense of self-importance,neutral
"An inventive , absorbing movie that 's as hard to classify as it is hard to resist .",very positive
It made me want to get made-up and go see this movie with my sisters .,positive
